scan_id,colour_index,r,g,b,h,s,v,l,a,b_lab,chroma,coverage_percent,family_predicted,is_metallic,is_detail,confidence,top_paint_name,top_paint_brand,top_paint_delta_e
scan-1769976743672-yw40h8r,0,28,28,23,60.0,17.857142857142858,10.980392156862745,10.529197506857678,-1.1524223601876025,2.50871957918962,2.760751930773518,37.16919886389252,Grey,False,False,1.0,Deathshroud Clear,Citadel,2.0
scan-1769976743672-yw40h8r,1,133,152,176,213.4883720930233,24.431818181818176,69.01960784313725,61.97513990788943,0.4886594820261438,-14.452975338100254,14.461233841312026,37.07677742211803,Blue,False,False,1.0,Fenrisian Grey,Citadel,8.7
scan-1769976743672-yw40h8r,2,124,119,100,47.500000000000014,19.35483870967742,48.627450980392155,50.37315803232268,-1.8565357519818038,11.201642574738937,11.354449408517818,18.630810152833504,Yellow,False,False,1.0,Runelord Brass,Citadel,5.5
scan-1769976743672-yw40h8r,3,156,59,44,8.035714285714286,71.7948717948718,61.1764705882353,39.26289593446193,37.127504628548564,28.699142464469666,46.92645712323509,7.123213561155945,Red,False,True,1.0,Guilliman Flesh,Citadel,3.7
scan-1770063101804-buf5kfn,0,28,28,23,60.0,17.857142857142858,10.980392156862745,10.529197506857678,-1.1524223601876025,2.50871957918962,2.760751930773518,37.16919886389252,Grey,False,False,1.0,Deathshroud Clear,Citadel,2.0
scan-1770063101804-buf5kfn,1,133,152,176,213.4883720930233,24.431818181818176,69.01960784313725,61.97513990788943,0.4886594820261438,-14.452975338100254,14.461233841312026,37.07677742211803,Blue,False,False,1.0,Fenrisian Grey,Citadel,8.7
scan-1770063101804-buf5kfn,2,124,119,100,47.500000000000014,19.35483870967742,48.627450980392155,50.37315803232268,-1.8565357519818038,11.201642574738937,11.354449408517818,18.630810152833504,Yellow,False,False,1.0,Runelord Brass,Citadel,5.5
scan-1770063101804-buf5kfn,3,156,59,44,8.035714285714286,71.7948717948718,61.1764705882353,39.26289593446193,37.127504628548564,28.699142464469666,46.92645712323509,7.123213561155945,Red,False,True,1.0,Guilliman Flesh,Citadel,3.7
scan-1770063239482-22h4pyd,0,186,225,175,106.80000000000001,22.222222222222218,88.23529411764706,85.76759114677898,-21.74230609286002,20.360455795363443,29.787179027738876,36.247777777777785,Green,False,False,1.0,Orruk Flesh,Citadel,15.7
scan-1770063239482-22h4pyd,1,91,51,123,273.3333333333333,58.536585365853654,48.23529411764706,29.768060989554517,32.35685069802681,-33.7788906869361,46.775840378708075,35.07888888888889,Blue,False,False,1.0,Imperial Purple,Citadel,5.1
scan-1770063239482-22h4pyd,2,160,122,177,281.4545454545455,31.073446327683612,69.41176470588235,56.79753154762649,24.810998298017015,-22.9159248234959,33.77462430672352,22.244444444444444,Red,False,False,1.0,Kakophoni Purple,Citadel,11.7
scan-1770063239482-22h4pyd,3,160,164,159,108.00000000000007,3.0487804878048843,64.31372549019608,67.02758799346866,-3.1153942125301413,2.309274177306623,3.877941248322553,6.428888888888888,Grey,False,True,1.0,Administratum Grey,Citadel,3.5
