timestamp,event_name,session_id,page_path,user_agent,properties
2026-06-28T19:22:20.933Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/inspiration,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/inspiration"", ""referrer"": null}"
2026-06-28T19:25:08.275Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/"", ""referrer"": ""/inspiration""}"
2026-06-28T19:25:24.277Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/miniature,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/miniature"", ""referrer"": ""/""}"
2026-06-28T19:25:40.921Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/inspiration,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/inspiration"", ""referrer"": null}"
2026-06-28T19:26:21.252Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/cart,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/cart"", ""referrer"": ""/inspiration""}"
2026-06-28T19:26:33.672Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/miniature,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/miniature"", ""referrer"": ""/cart""}"
2026-06-28T19:26:42.669Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/"", ""referrer"": ""/miniature""}"
2026-06-28T19:26:52.390Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/inspiration,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/inspiration"", ""referrer"": ""/""}"
2026-06-28T19:27:16.146Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/settings,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/settings"", ""referrer"": null}"
2026-06-28T19:27:35.517Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/"", ""referrer"": ""/settings""}"
2026-06-28T19:27:46.064Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/miniature,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/miniature"", ""referrer"": ""/""}"
2026-06-28T19:28:31.238Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/miniature/results,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/miniature/results"", ""referrer"": ""/miniature""}"
2026-06-28T19:28:31.265Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/miniature/results,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/miniature/results"", ""referrer"": null}"
2026-06-28T19:29:16.533Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/cart,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/cart"", ""referrer"": ""/miniature/results""}"
2026-06-28T19:30:38.779Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/"", ""referrer"": ""/cart""}"
2026-06-28T19:30:50.544Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/inspiration,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/inspiration"", ""referrer"": ""/""}"
2026-06-28T19:31:16.831Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/inspiration/results,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/inspiration/results"", ""referrer"": null}"
2026-06-28T19:31:34.559Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/inspiration,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/inspiration"", ""referrer"": ""/inspiration/results""}"
2026-06-28T19:32:28.656Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/"", ""referrer"": null}"
2026-06-28T19:32:33.370Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/miniature,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/miniature"", ""referrer"": null}"
2026-06-28T19:32:36.780Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/inspiration,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/inspiration"", ""referrer"": null}"
2026-06-28T19:32:40.539Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/cart,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/cart"", ""referrer"": null}"
2026-06-28T19:32:49.726Z,page_view,6ed507ce-73ab-46ab-bfda-81981701978b,/miniature,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""path"": ""/miniature"", ""referrer"": ""/cart""}"
