timestamp,event_name,session_id,page_path,user_agent,properties
2026-02-24T19:39:13.985Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/"", ""referrer"": null}"
2026-02-24T19:42:11.028Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/"", ""referrer"": null}"
2026-02-24T19:42:23.350Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/miniature,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/miniature"", ""referrer"": ""/""}"
2026-02-24T19:43:24.563Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/miniature/results,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/miniature/results"", ""referrer"": ""/miniature""}"
2026-02-24T19:43:24.565Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/miniature/results,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/miniature/results"", ""referrer"": null}"
2026-02-24T20:06:25.998Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/"", ""referrer"": null}"
2026-02-24T20:06:28.795Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/miniature,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/miniature"", ""referrer"": ""/""}"
2026-02-24T20:06:37.238Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/miniature/results,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/miniature/results"", ""referrer"": ""/miniature""}"
2026-02-24T20:06:37.241Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/miniature/results,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/miniature/results"", ""referrer"": null}"
2026-02-24T20:12:06.889Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/"", ""referrer"": null}"
2026-02-24T20:12:08.542Z,page_view,36c0626d-a3eb-4517-9ddc-1bf5d53ba6c7,/miniature,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,"{""path"": ""/miniature"", ""referrer"": ""/""}"
